season,qb_name,dropbacks,epa,epa_per_db,ints,sacks,air_yards,comp,att,yac,int_rate,sack_rate,ay_per_att,yac_per_comp,team,db_x,team_dropbacks,team_sacks,team_sack_rate_allowed,team_yac,team_completions,team_yac_per_comp,db_y,no_huddle_plays,team_no_huddle_rate,next_epa_per_db,seasons_seen
2023,S.Howell,711,-94.34939,-0.13269956,21,65,4588.0,388.0,679,2019.0,0.029535864978902954,0.09142053445850915,6.75699558173785,5.203608,WAS,711,737,65,0.08819538670284939,2092.0,407.0,5.140049,737,51,0.06919945725915876,,1
2024,S.Rattler,264,-73.88419,-0.27986437,5,22,1834.0,130.0,250,642.0,0.01893939393939394,0.08333333333333333,7.336,4.9384613,NO,264,618,37,0.059870550161812294,1836.0,340.0,5.4,618,69,0.11165048543689321,-0.09729999,1
2025,S.Rattler,288,-28.022398,-0.09729999,5,18,2030.0,174.0,272,642.0,0.017361111111111112,0.0625,7.463235294117647,3.689655,NO,288,671,49,0.07302533532041729,1696.0,397.0,4.2720404,671,149,0.22205663189269748,,2
2025,S.Sanders,253,-60.42563,-0.23883648,10,23,1525.0,120.0,235,809.0,0.039525691699604744,0.09090909090909091,6.48936170212766,6.741667,CLE,253,641,51,0.07956318252730109,1711.0,323.0,5.2972136,641,69,0.10764430577223089,,1
2023,T.Bagent,160,-22.277658,-0.13923536,6,5,814.0,94.0,149,498.0,0.0375,0.03125,5.4630872483221475,5.2978725,CHI,160,621,50,0.08051529790660225,1722.0,321.0,5.364486,621,49,0.07890499194847021,,1
2018,T.Brady,595,88.94389,0.14948553,11,21,4487.0,375.0,590,2121.0,0.018487394957983194,0.03529411764705882,7.605084745762712,5.656,NE,595,599,21,0.035058430717863104,2176.0,378.0,5.7566137,599,45,0.07512520868113523,0.02740094,1
2019,T.Brady,645,17.673607,0.02740094,8,27,4613.0,373.0,642,1863.0,0.012403100775193798,0.04186046511627907,7.185358255451713,4.994638,NE,645,653,28,0.042879019908116385,1933.0,378.0,5.1137567,653,61,0.09341500765696784,0.18685189,2
2020,T.Brady,633,118.277245,0.18685189,12,21,5532.0,401.0,629,1810.0,0.018957345971563982,0.03317535545023697,8.794912559618442,4.5137157,TB,633,652,22,0.03374233128834356,1890.0,410.0,4.609756,652,32,0.049079754601226995,0.18818134,3
2021,T.Brady,750,141.136,0.18818134,12,22,5804.0,485.0,740,2534.0,0.016,0.029333333333333333,7.8432432432432435,5.2247424,TB,750,763,23,0.03014416775884666,2573.0,492.0,5.229675,763,120,0.15727391874180865,0.048400268,4
2022,T.Brady,762,36.881004,0.048400268,9,22,5027.0,490.0,758,2278.0,0.011811023622047244,0.028871391076115485,6.6319261213720315,4.6489797,TB,762,780,22,0.028205128205128206,2335.0,499.0,4.6793585,780,194,0.24871794871794872,,5
2019,T.Bridgewater,220,21.619507,0.09827048,2,12,1212.0,133.0,208,748.0,0.00909090909090909,0.05454545454545454,5.826923076923077,5.62406,NO,220,616,25,0.040584415584415584,2257.0,418.0,5.3995214,616,23,0.037337662337662336,0.09535411,1
2020,T.Bridgewater,560,53.3983,0.09535411,11,31,3507.0,340.0,523,1881.0,0.019642857142857142,0.055357142857142855,6.705544933078394,5.532353,CAR,560,624,36,0.057692307692307696,2029.0,373.0,5.439678,624,22,0.035256410256410256,0.119416356,2
2021,T.Bridgewater,475,56.72277,0.119416356,7,31,3424.0,285.0,460,1387.0,0.014736842105263158,0.06526315789473684,7.443478260869565,4.866667,DEN,475,605,40,0.06611570247933884,1744.0,354.0,4.9265537,605,41,0.06776859504132231,,3
2023,T.DeVito,237,-52.24359,-0.2204371,3,37,1149.0,114.0,215,583.0,0.012658227848101266,0.15611814345991562,5.344186046511628,5.114035,NYG,237,668,85,0.12724550898203593,1601.0,338.0,4.736686,668,108,0.16167664670658682,,1
2021,T.Heinicke,572,-29.838726,-0.052165605,15,38,3779.0,321.0,532,1747.0,0.026223776223776224,0.06643356643356643,7.103383458646617,5.4423676,WAS,572,635,43,0.06771653543307087,1896.0,356.0,5.325843,635,50,0.07874015748031496,-0.040632218,1
2022,T.Heinicke,289,-11.742711,-0.040632218,6,19,2146.0,161.0,276,772.0,0.020761245674740483,0.0657439446366782,7.77536231884058,4.795031,WAS,289,635,48,0.07559055118110236,1673.0,344.0,4.8633723,635,71,0.11181102362204724,0.06507789,2
2023,T.Heinicke,155,10.087073,0.06507789,4,8,1136.0,74.0,142,508.0,0.025806451612903226,0.05161290322580645,8.0,6.864865,ATL,155,602,40,0.0664451827242525,1769.0,327.0,5.4097857,602,115,0.19102990033222592,,3
2020,T.Hill,152,10.93721,0.07195533,2,14,843.0,88.0,135,372.0,0.013157894736842105,0.09210526315789473,6.2444444444444445,4.2272725,NO,152,570,29,0.05087719298245614,1911.0,370.0,5.164865,570,30,0.05263157894736842,-0.028708974,1
2021,T.Hill,157,-4.507309,-0.028708974,5,9,991.0,78.0,141,521.0,0.03184713375796178,0.05732484076433121,7.028368794326241,6.679487,NO,157,581,37,0.06368330464716007,1687.0,293.0,5.757679,581,32,0.055077452667814115,,2
2021,T.Huntley,230,-15.781236,-0.068614066,4,18,1407.0,122.0,205,446.0,0.017391304347826087,0.0782608695652174,6.863414634146341,3.6557376,BAL,230,743,57,0.07671601615074024,1717.0,396.0,4.335859,743,64,0.08613728129205922,-0.09984556,1
2024,T.Huntley,164,-16.374672,-0.09984556,3,15,1036.0,86.0,149,354.0,0.018292682926829267,0.09146341463414634,6.953020134228188,4.116279,MIA,164,660,43,0.06515151515151515,2235.0,413.0,5.411622,660,48,0.07272727272727272,,2
2021,T.Lawrence,668,-59.912003,-0.08968863,17,32,4738.0,359.0,636,1634.0,0.025449101796407185,0.04790419161676647,7.449685534591195,4.5515323,JAX,668,670,32,0.04776119402985075,1640.0,361.0,4.5429363,670,76,0.11343283582089553,0.14476174,1
2022,T.Lawrence,639,92.502754,0.14476174,8,27,4295.0,387.0,615,2020.0,0.012519561815336464,0.04225352112676056,6.983739837398374,5.2196383,JAX,639,652,28,0.04294478527607362,2040.0,394.0,5.1776648,652,35,0.05368098159509203,-0.010166041,2
2023,T.Lawrence,643,-6.536764,-0.010166041,14,35,4613.0,370.0,602,1786.0,0.02177293934681182,0.05443234836702955,7.662790697674419,4.827027,JAX,643,710,41,0.057746478873239436,1945.0,412.0,4.720874,710,54,0.07605633802816901,0.009569804,3
2024,T.Lawrence,318,3.0431976,0.009569804,7,18,2659.0,172.0,305,846.0,0.0220125786163522,0.05660377358490566,8.718032786885246,4.918605,JAX,318,611,32,0.05237315875613748,1754.0,343.0,5.113703,611,71,0.11620294599018004,0.07974416,4
2025,T.Lawrence,643,51.275494,0.07974416,12,41,4876.0,341.0,600,1631.0,0.01866251944012442,0.06376360808709176,8.126666666666667,4.7829914,JAX,643,646,41,0.06346749226006192,1646.0,344.0,4.7848835,646,61,0.09442724458204334,,5
2025,T.Shough,376,-1.8274646,-0.004860278,6,31,2709.0,221.0,356,1051.0,0.015957446808510637,0.08244680851063829,7.609550561797753,4.7556562,NO,376,671,49,0.07302533532041729,1696.0,397.0,4.2720404,671,149,0.22205663189269748,,1
2021,T.Siemian,204,-9.529917,-0.04671528,3,9,1329.0,108.0,201,507.0,0.014705882352941176,0.04411764705882353,6.611940298507463,4.6944447,NO,204,581,37,0.06368330464716007,1687.0,293.0,5.757679,581,32,0.055077452667814115,-0.3436765,1
2023,T.Siemian,167,-57.393974,-0.3436765,4,8,814.0,86.0,161,471.0,0.023952095808383235,0.04790419161676647,5.055900621118012,5.476744,NYJ,167,695,64,0.0920863309352518,1782.0,356.0,5.005618,695,86,0.1237410071942446,,2
2020,T.Tagovailoa,326,-10.7633505,-0.033016413,5,20,2175.0,186.0,310,766.0,0.015337423312883436,0.06134969325153374,7.016129032258065,4.1182795,MIA,326,627,34,0.05422647527910686,1654.0,370.0,4.47027,627,95,0.15151515151515152,0.063503034,1
2021,T.Tagovailoa,427,27.115795,0.063503034,10,20,2735.0,263.0,409,1231.0,0.0234192037470726,0.0468384074941452,6.687041564792176,4.6806083,MIA,427,688,40,0.05813953488372093,1739.0,404.0,4.3044553,688,84,0.12209302325581395,0.21764323,2
2022,T.Tagovailoa,431,93.80423,0.21764323,8,21,3833.0,259.0,421,1274.0,0.018561484918793503,0.048723897911832945,9.104513064133016,4.918919,MIA,431,638,35,0.054858934169279,1789.0,368.0,4.861413,638,30,0.047021943573667714,0.17426853,3
2023,T.Tagovailoa,605,105.43246,0.17426853,14,29,4283.0,388.0,589,2176.0,0.023140495867768594,0.047933884297520664,7.271646859083192,5.6082473,MIA,605,613,31,0.05057096247960848,2227.0,393.0,5.6666665,613,34,0.05546492659053834,0.22099315,4
2024,T.Tagovailoa,428,94.58507,0.22099315,7,21,2271.0,291.0,421,1708.0,0.016355140186915886,0.04906542056074766,5.394299287410926,5.8694158,MIA,428,660,43,0.06515151515151515,2235.0,413.0,5.411622,660,48,0.07272727272727272,0.016043603,5
2025,T.Tagovailoa,426,6.8345747,0.016043603,15,30,2613.0,260.0,415,1410.0,0.035211267605633804,0.07042253521126761,6.296385542168674,5.423077,MIA,426,533,38,0.07129455909943715,1800.0,322.0,5.590062,533,29,0.054409005628517824,,6
2023,T.Taylor,218,2.7352562,0.012547047,3,17,1542.0,116.0,192,578.0,0.013761467889908258,0.0779816513761468,8.03125,4.9827585,NYG,218,668,85,0.12724550898203593,1601.0,338.0,4.736686,668,108,0.16167664670658682,-0.048091605,1
2025,T.Taylor,169,-8.127481,-0.048091605,5,14,1145.0,80.0,147,331.0,0.029585798816568046,0.08284023668639054,7.789115646258503,4.1375,NYJ,169,613,60,0.09787928221859707,1323.0,298.0,4.439597,613,65,0.10603588907014681,,2
2023,W.Levis,291,-5.5416183,-0.019043362,4,28,2688.0,149.0,282,746.0,0.013745704467353952,0.09621993127147767,9.53191489361702,5.0067115,TEN,291,576,64,0.1111111111111111,1596.0,304.0,5.25,576,32,0.05555555555555555,-0.16353877,1
2024,W.Levis,364,-59.528114,-0.16353877,12,41,2621.0,190.0,344,933.0,0.03296703296703297,0.11263736263736264,7.619186046511628,4.9105263,TEN,364,615,52,0.08455284552845528,1597.0,336.0,4.7529764,615,63,0.1024390243902439,,2
2021,Z.Wilson,445,-86.091354,-0.19346371,11,44,2885.0,213.0,429,1077.0,0.024719101123595506,0.09887640449438202,6.724941724941725,5.056338,NYJ,445,680,53,0.07794117647058824,1962.0,357.0,5.495798,680,78,0.11470588235294117,-0.10381136,1
2022,Z.Wilson,278,-28.859558,-0.10381136,7,23,2189.0,132.0,265,810.0,0.025179856115107913,0.08273381294964029,8.260377358490565,6.1363635,NYJ,278,688,42,0.061046511627906974,1843.0,357.0,5.162465,688,72,0.10465116279069768,-0.24791488,2
2023,Z.Wilson,438,-108.586716,-0.24791488,7,46,2672.0,221.0,413,1113.0,0.01598173515981735,0.1050228310502283,6.469733656174334,5.036199,NYJ,438,695,64,0.0920863309352518,1782.0,356.0,5.005618,695,86,0.1237410071942446,,3
