season,qb_name,team,dropbacks,QBVision_Rating,next_QBVision_Rating,epa_per_db,context_pred_epa_per_db,skill_residual,int_rate,sack_rate,ay_per_att,yac_per_comp,team_sack_rate_allowed,team_yac_per_comp,team_no_huddle_rate,efficiency_score,decision_score,explosiveness_score,mobility_score
2021,J.Garoppolo,SF,475,56.10970166207359,65.19928316092674,0.16124946,0.13975685106699123,0.021492608933008778,0.0252631578947368,0.0610526315789473,7.051172707889126,6.5049834,0.0585106382978723,6.548105,0.0638297872340425,0.8931917407102768,-0.2996279591741342,-0.05547828892785418,0.0
2022,J.Garoppolo,SF,329,65.19928316092674,35.8044094644797,0.18695128,0.15552219464486425,0.03142908535513575,0.0121580547112462,0.0547112462006079,6.515337423312883,6.9710145,0.0557553956834532,6.6153846,0.0413669064748201,1.4115460665614963,1.036230484029593,-0.48584364276822306,0.0
2023,J.Garoppolo,LV,191,35.8044094644797,,-0.08668218,0.0033097917047566275,-0.08999197170475662,0.0471204188481675,0.0732984293193717,7.46448087431694,4.2545457,0.066006600660066,4.6149426,0.0759075907590759,-0.5558537219866478,-1.730339688855337,0.1751995415299187,0.0
2018,J.Goff,LA,615,64.8658895045119,49.002927804597135,0.19755617,0.1023600189006752,0.0951961510993248,0.0195121951219512,0.0536585365853658,8.176470588235293,5.8434067,0.0530546623794212,5.883152,0.2009646302250803,1.095752959277926,0.3184967005057458,0.7285473421488212,0.0
2019,J.Goff,LA,659,49.002927804597135,38.529312929759755,0.09499713,0.16149437357176105,-0.06649724357176105,0.0242792109256449,0.0333839150227617,7.459167950693375,5.6954317,0.0330827067669172,5.717884,0.1789473684210526,0.40823035549172626,0.29609840770712753,-0.03872782530028671,0.0
2020,J.Goff,LA,596,38.529312929759755,37.34080825486909,0.018646268,0.13659151913209217,-0.11794525113209217,0.0218120805369127,0.0385906040268456,6.235191637630662,5.8054056,0.0391849529780564,5.716837,0.2163009404388714,-0.3507388382222515,0.22989735579983298,-1.0780962449456974,0.0
2021,J.Goff,DET,540,37.34080825486909,62.6666130719356,-0.06008722,0.07137406032369001,-0.13146128032369,0.0148148148148148,0.0648148148148148,5.954631379962192,5.253012,0.0559875583203732,5.2550507,0.0870917573872472,-0.6097164202948049,0.34953060427730454,-1.9555050169570545,0.0
2022,J.Goff,DET,625,62.6666130719356,57.95754906897836,0.15671141,0.17191682569635217,-0.01520541569635217,0.0112,0.0368,6.768852459016394,5.9450264,0.0382775119617224,5.929504,0.0574162679425837,1.1983881056200736,1.5107854145112372,-0.37915562924508184,0.0
2023,J.Goff,DET,643,57.95754906897836,68.12547326111911,0.10457313,0.10153835524257032,0.0030347747574296785,0.0186625194401244,0.046656298600311,6.389937106918239,5.275184,0.0480620155038759,5.2843137,0.0682170542635658,0.8762869680471477,0.5312645052431652,-0.7870579048632238,0.0
2024,J.Goff,DET,582,68.12547326111911,59.969676815888604,0.2782302,0.14802709689535254,0.13020310310464744,0.0206185567010309,0.0532646048109965,6.001760563380282,6.523077,0.0552763819095477,6.461153,0.0435510887772194,1.750132416907484,0.16282445492979802,-0.9083911645821644,0.0
2025,J.Goff,DET,619,59.969676815888604,,0.17668878,0.10091272422688063,0.07577605577311936,0.0129240710823909,0.061389337641357,6.0537459283387625,6.13486,0.0625,6.1192894,0.0737179487179487,1.0336544819462983,0.5183446822524405,-0.9766452277170226,0.0
2020,J.Herbert,LAC,651,55.29617866177534,60.947909551639746,0.14028646,0.11248471181392053,0.027801748186079472,0.0153609831029185,0.0491551459293394,6.977635782747604,5.6060605,0.049490538573508,5.5786924,0.0771470160116448,0.5478133238807222,0.591687944842748,-0.23099579853106492,0.0
2021,J.Herbert,LAC,745,60.947909551639746,48.66343219668468,0.17125016,0.1289388104402326,0.042311349559767425,0.0201342281879194,0.0416107382550335,7.133991537376587,5.4243793,0.0414438502673796,5.4243793,0.0868983957219251,1.0068882053176127,0.5315240202630432,-0.17275164226471448,0.0
2022,J.Herbert,LAC,758,48.66343219668468,58.194721115422844,0.027061347,0.08855684055178531,-0.06149549355178531,0.0131926121372031,0.050131926121372,6.119565217391305,5.188679,0.0504527813712807,5.23299,0.0853816300129366,0.09663864367099197,1.0170382938676559,-1.196037212958802,0.0
2023,J.Herbert,LAC,517,58.194721115422844,68.76269776605695,0.05142332,0.04803198100327157,0.0033913389967284296,0.0135396518375241,0.0560928433268858,7.181069958847736,5.23569,0.0601398601398601,5.2811737,0.1748251748251748,0.5126920836747335,0.7187334213030886,0.03292645687030907,0.0
2024,J.Herbert,LAC,576,68.76269776605695,54.01362052663068,0.13460118,0.00038374710631672304,0.13421743289368326,0.0052083333333333,0.0711805555555555,7.955963302752294,5.045181,0.0749574105621805,5.032738,0.0545144804088586,0.764705320902949,0.9181747342323735,0.7187276108042128,0.0
2025,J.Herbert,LAC,615,54.01362052663068,,0.05443849,-0.05553199087877272,0.10997048087877272,0.0211382113821138,0.0878048780487804,7.086572438162544,4.8735294,0.0881057268722467,4.80109,0.0499265785609397,0.10180654136918466,-0.5414803354016247,-0.0925048691049302,0.0
2020,J.Hurts,PHI,185,53.420133240831476,58.074826360346684,0.008473513,-0.09784526280934422,0.10631877580934422,0.0216216216216216,0.0702702702702702,8.403726708074535,6.077922,0.0906555090655509,4.4371257,0.1534170153417015,-0.47755883864411447,-0.45962748039494683,1.5485465949453467,0.0
